   1 	    31.9464 
   2 	    34.5282 
   3 	    37.3697 
   4 	    40.0924 
   5 	    42.8671 
   6 	    45.6266 
   7 	    48.2392 
   8 	    50.9670 
   9 	    53.7109 
  10 	    56.4233 
  11 	    59.0847 
  12 	    61.7840 
  13 	    64.5390 
  14 	    67.2946 
  15 	    69.9787 
  16 	    72.6972 
  17 	    75.4281 
  18 	    78.1755 
  19 	    80.8072 
  20 	    83.5986 
  21 	    86.3757 
  22 	    89.0337 
  23 	    91.7803 
  24 	    94.3223 
  25 	    97.1638 
  26 	    99.8418 
  27 	   102.5952 
  28 	   105.3073 
  29 	   107.9600 
  30 	   110.7205 
  31 	   112.1432 
