   1 	     2.5678 
   2 	     5.0754 
   3 	     7.8032 
   4 	    10.6321 
   5 	    13.2530 
   6 	    15.9695 
   7 	    18.7843 
   8 	    21.5406 
   9 	    24.2260 
  10 	    26.9182 
  11 	    29.6085 
  12 	    32.2556 
  13 	    35.0516 
  14 	    37.8205 
  15 	    40.4855 
  16 	    43.2587 
  17 	    45.7476 
  18 	    48.5313 
  19 	    51.4126 
  20 	    53.9868 
  21 	    56.7901 
  22 	    59.4235 
  23 	    62.2527 
  24 	    64.9171 
  25 	    67.7508 
  26 	    70.4103 
  27 	    73.1192 
  28 	    75.6559 
  29 	    78.5794 
  30 	    81.2886 
  31 	    84.0058 
  32 	    86.5752 
  33 	    89.3833 
